Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
3/31/22,17:30,3/31/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12CGFS2,,,,,,,,,,,,
3/31/22,18:00,3/31/22,20:00,,,Cardoza,,"Kennedy Dr &, N Park Victoria Dr, Milpitas, CA 95035",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
4/2/22,12:00,4/2/22,14:00,,,"San Martin Gwinn (Have one field for 12u so when hosting 2 games on a Saturday, just not at the same time.)",,"90 Oak St. San Martin, CA",,Game,,12CGFS4,,0,12CGFS4,,CGFS4,TRUE,,,,,,,,,
4/2/22,21:00,4/2/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12BHS3,,BHS3,TRUE,,,,,,,,,
4/2/22,21:00,4/2/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12CGFS1,,,,,,,,,,,,
4/7/22,17:30,4/7/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12MILP2,,MILP2,TRUE,,,,,,,,,
4/7/22,18:30,4/7/22,20:30,,,"Ocala 3",,"2800 Ocala Ave  San Jose, CA",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
4/7/22,17:30,4/7/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12SGSL2,,SGSL2,TRUE,,,,,,,,,
4/7/22,17:30,4/7/22,19:30,,,"Vista Park Field 1",,"473 Hyde Park Dr., San Jose, CA",,Game,,12CGFS2,,0,12CGFS2,,CGFS2,TRUE,,,,,,,,,
4/9/22,15:00,4/9/22,17:00,,,"Bret Harte #1",,"Bret Harte Middle School  - 7050 Bret Harte Drive, San Jose CA",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
